dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,1,0.0,0.1,27651.6,760.8950650385373,26984.646069045244,28318.553930954753,5,0.03346563537118794,0.002389295403317395,0.03137132561065092,0.03555994513172497,5,0.03372138890639999,0.0021960417837702034,0.03179647341210348,0.035646304400696494,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,2,0.1,0.2,9603.0,1970.4806520237644,7875.797554980888,11330.202445019113,5,0.14847208331364545,0.0033524873686809234,0.1455334985708141,0.1514106680564768,5,0.14932894187001594,0.0073121937033897135,0.1429195214933292,0.15573836224670268,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,3,0.2,0.3,5320.8,1434.4666953261758,4063.4345034541475,6578.165496545853,5,0.25099537134111294,0.007955658068588525,0.24402192958024635,0.2579688131019795,5,0.25332446510752377,0.015630349902212935,0.2396238593492893,0.2670250708657583,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,4,0.3,0.4,4134.8,418.89043913653603,3767.626341162659,4501.973658837341,5,0.34717843190874353,0.008147414442205982,0.34003690827555816,0.3543199555419289,5,0.34445218487809043,0.008494904640486519,0.337006072656596,0.35189829709958487,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,5,0.4,0.5,2636.2,770.0533747734634,1961.2184566197384,3311.1815433802612,5,0.4400763853138475,0.008683546339415505,0.43246492135277215,0.4476878492749229,5,0.44399735127949624,0.011463959420328787,0.4339487477978758,0.4540459547611167,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,6,0.5,0.6000000000000001,1062.8,490.91873054508727,632.4907600527267,1493.1092399472732,5,0.5572404538077328,0.016744202421413935,0.54256351326916,0.5719173943463056,5,0.540629682742791,0.02261053736608776,0.5208106729079095,0.5604486925776725,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,273.2,116.30219258466282,171.2566334477814,375.1433665522186,5,0.6436758897867391,0.01614572959550665,0.6295235338093609,0.6578282457641172,5,0.5937949581141904,0.022441846389688012,0.5741238124395537,0.613466103788827,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,8,0.7000000000000001,0.8,34.4,41.614901177342716,-2.077069180513945,70.87706918051394,5,0.7490965101237679,0.016892000018647078,0.7342900192792599,0.7639030009682759,5,0.50436553496255,0.20186518639765055,0.3274228975648315,0.6813081723602685,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,9,0.8,0.9,17.4,13.352902306240393,5.6956650765624435,29.104334923437555,5,0.845576689200719,0.028924441269619128,0.8202232985798121,0.870930079821626,5,0.40619555882713776,0.10006400761220327,0.3184855889633361,0.4939055286909394,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,10,0.9,1.0,1.8,2.489979919597747,-0.3825636302293687,3.982563630229369,5,0.9430503132047237,0.03731098881993517,0.8913399209183145,0.9947607054911328,2,0.55,0.07071067811865474,0.45200000000000007,0.648,2
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,1,0.0,0.1,27651.6,760.8950650385373,26984.646069045244,28318.553930954753,5,0.03346563537118794,0.002389295403317395,0.03137132561065092,0.03555994513172497,5,0.03372138890639999,0.0021960417837702034,0.03179647341210348,0.035646304400696494,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,2,0.1,0.2,9603.0,1970.4806520237644,7875.797554980888,11330.202445019113,5,0.14847208331364545,0.0033524873686809234,0.1455334985708141,0.1514106680564768,5,0.14932894187001594,0.0073121937033897135,0.1429195214933292,0.15573836224670268,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,3,0.2,0.3,5320.8,1434.4666953261758,4063.4345034541475,6578.165496545853,5,0.25099537134111294,0.007955658068588525,0.24402192958024635,0.2579688131019795,5,0.25332446510752377,0.015630349902212935,0.2396238593492893,0.2670250708657583,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,4,0.3,0.4,4134.8,418.89043913653603,3767.626341162659,4501.973658837341,5,0.34717843190874353,0.008147414442205982,0.34003690827555816,0.3543199555419289,5,0.34445218487809043,0.008494904640486519,0.337006072656596,0.35189829709958487,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,5,0.4,0.5,2636.2,770.0533747734634,1961.2184566197384,3311.1815433802612,5,0.4400763853138475,0.008683546339415505,0.43246492135277215,0.4476878492749229,5,0.44399735127949624,0.011463959420328787,0.4339487477978758,0.4540459547611167,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,6,0.5,0.6000000000000001,1062.8,490.91873054508727,632.4907600527267,1493.1092399472732,5,0.5572404538077328,0.016744202421413935,0.54256351326916,0.5719173943463056,5,0.540629682742791,0.02261053736608776,0.5208106729079095,0.5604486925776725,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,7,0.6000000000000001,0.7000000000000001,273.2,116.30219258466282,171.2566334477814,375.1433665522186,5,0.6436758897867391,0.01614572959550665,0.6295235338093609,0.6578282457641172,5,0.5937949581141904,0.022441846389688012,0.5741238124395537,0.613466103788827,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,8,0.7000000000000001,0.8,34.4,41.614901177342716,-2.077069180513945,70.87706918051394,5,0.7490965101237679,0.016892000018647078,0.7342900192792599,0.7639030009682759,5,0.50436553496255,0.20186518639765055,0.3274228975648315,0.6813081723602685,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,9,0.8,0.9,17.4,13.352902306240393,5.6956650765624435,29.104334923437555,5,0.845576689200719,0.028924441269619128,0.8202232985798121,0.870930079821626,5,0.40619555882713776,0.10006400761220327,0.3184855889633361,0.4939055286909394,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,10,0.9,1.0,1.8,2.489979919597747,-0.3825636302293687,3.982563630229369,5,0.9430503132047237,0.03731098881993517,0.8913399209183145,0.9947607054911328,2,0.55,0.07071067811865474,0.45200000000000007,0.648,2
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,1,0.0,0.1,31612.4,252.89681690365342,31390.726166235167,31834.073833764836,5,0.06488747064762554,0.0006477144113346089,0.06431972393375536,0.06545521736149572,5,0.04432615194205032,0.001113437005762146,0.04335018137529951,0.04530212250880113,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,2,0.1,0.2,9925.6,191.44790414104824,9757.788513098776,10093.411486901225,5,0.1389368190766112,0.00021690781162210916,0.13874669099684922,0.1391269471563732,5,0.20218157916363705,0.004060164490693895,0.19862268807363628,0.2057404702536378,5
