dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2736.8,300.12780610933066,2473.7263788518508,2999.8736211481496,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7531.2,1011.019881110159,6645.0020011397,8417.397998860299,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36135.8,1011.019881110159,35249.602001139705,37021.9979988603,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4332.2,300.12780610933066,4069.1263788518495,4595.273621148149,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FN,6384.8,98.56064123168032,6298.407788869598,6471.192211130402,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FP,547.8,93.7427330516878,465.6308715879254,629.9691284120745,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TN,43119.2,93.7427330516878,43037.03087158792,43201.36912841207,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TP,684.2,98.56064123168032,597.8077888695977,770.5922111304023,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2775.0,300.20159892978586,2511.861696592837,3038.1383034071628,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7379.4,999.4902700877084,6503.30815078783,8255.49184921217,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36287.6,999.4902700877084,35411.50815078783,37163.69184921217,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4294.0,300.20159892978586,4030.861696592837,4557.138303407162,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,FN,5840.4,23.244354153213205,5820.025425255972,5860.774574744028,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,FP,1116.0,59.46847904562551,1063.8735798275002,1168.1264201724998,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,TN,42551.0,59.46847904562551,42498.8735798275,42603.1264201725,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,TP,1228.6,23.244354153213205,1208.2254252559717,1248.9745747440284,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2783.4,320.3307665523248,2502.6177032361197,3064.182296763881,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,7366.6,1064.693523977675,6433.35497883139,8299.84502116861,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36300.4,1064.693523977675,35367.15497883139,37233.64502116861,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4285.6,320.3307665523248,4004.81770323612,4566.382296763881,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,FN,6246.6,198.9115381268769,6072.246349461791,6420.953650538209,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,FP,689.2,203.365926349524,510.94190603509753,867.4580939649026,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,TN,42977.8,203.365926349524,42799.5419060351,43156.05809396491,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,TP,822.4,198.9115381268769,648.0463494617907,996.7536505382092,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2879.8,324.2610059812928,2595.5726964839587,3164.0273035160417,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,7063.8,1041.756785435065,6150.659916604249,7976.940083395752,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36603.2,1041.756785435065,35690.059916604245,37516.34008339575,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4189.2,324.2610059812928,3904.9726964839583,4473.427303516041,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,FN,5796.4,32.9893922344744,5767.483522759506,5825.316477240493,5
cdc,showcase,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,FP,1172.4,49.470193045914016,1129.0374639118052,1215.762536088195,5
