dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,contribution_mean,contribution_std,contribution_ci95_low,contribution_ci95_high,contribution_n
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Age,single_feature_probability_delta,2.8,2.4899799195977463,0.6174363697706315,4.982563630229368,5,-0.019819422516247562,0.03140477236823464,-0.04734691920289321,0.007708074170398087,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Age,single_feature_probability_delta,2.8,2.4899799195977463,0.6174363697706315,4.982563630229368,5,-0.019819422516247562,0.03140477236823464,-0.04734691920289321,0.007708074170398087,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,GenHlth,single_feature_probability_delta,4.6,7.503332592921629,-1.9769610003405074,11.176961000340507,5,-0.0291740006220381,0.033003456918471244,-0.05810280610161557,-0.00024519514246062676,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,GenHlth,single_feature_probability_delta,4.6,7.503332592921629,-1.9769610003405074,11.176961000340507,5,-0.0291740006220381,0.033003456918471244,-0.05810280610161557,-0.00024519514246062676,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,MentHlth,single_feature_probability_delta,5.2,1.9235384061671346,3.513944247659645,6.886055752340355,5,0.0021312805902084808,0.002266082292514684,0.0001449718831292939,0.004117589297287668,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,MentHlth,single_feature_probability_delta,5.2,1.9235384061671346,3.513944247659645,6.886055752340355,5,0.0021312805902084808,0.002266082292514684,0.0001449718831292939,0.004117589297287668,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,BMI,single_feature_probability_delta,6.4,5.683308895353129,1.4183601093615774,11.381639890638423,5,-0.00896730853199034,0.015709741314736465,-0.0227375039315559,0.004802886867575221,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,BMI,single_feature_probability_delta,6.4,5.683308895353129,1.4183601093615774,11.381639890638423,5,-0.00896730853199034,0.015709741314736465,-0.0227375039315559,0.004802886867575221,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,HighBP,single_feature_probability_delta,7.0,4.795831523312719,2.796268324452666,11.203731675547335,5,0.02336224510996942,0.033372594380426654,-0.0058901236211338776,0.052614613841072716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,HighBP,single_feature_probability_delta,7.0,4.795831523312719,2.796268324452666,11.203731675547335,5,0.02336224510996942,0.033372594380426654,-0.0058901236211338776,0.052614613841072716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Sex,single_feature_probability_delta,7.4,6.54217089351845,1.6655343753755059,13.134465624624495,5,0.00621215731327186,0.009382089097345704,-0.002011606371836997,0.014435920998380716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Sex,single_feature_probability_delta,7.4,6.54217089351845,1.6655343753755059,13.134465624624495,5,0.00621215731327186,0.009382089097345704,-0.002011606371836997,0.014435920998380716,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,HighChol,single_feature_probability_delta,8.6,6.107372593840989,3.2466518887709155,13.953348111229083,5,0.02142762657032558,0.032138528486058235,-0.006743035711197144,0.049598288851848304,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,HighChol,single_feature_probability_delta,8.6,6.107372593840989,3.2466518887709155,13.953348111229083,5,0.02142762657032558,0.032138528486058235,-0.006743035711197144,0.049598288851848304,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Smoker,single_feature_probability_delta,9.6,4.219004621945797,5.901879396233811,13.298120603766188,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Smoker,single_feature_probability_delta,9.6,4.219004621945797,5.901879396233811,13.298120603766188,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Fruits,single_feature_probability_delta,9.8,2.16794833886788,7.8997094958928,11.700290504107201,5,2.085754591598e-05,4.6638890511954395e-05,-2.0023244079340796e-05,6.17383359113008e-05,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,PhysActivity,single_feature_probability_delta,9.8,1.7888543819998317,8.232000000000001,11.368,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Fruits,single_feature_probability_delta,9.8,2.16794833886788,7.8997094958928,11.700290504107201,5,2.085754591598e-05,4.6638890511954395e-05,-2.0023244079340796e-05,6.17383359113008e-05,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,PhysActivity,single_feature_probability_delta,9.8,1.7888543819998317,8.232000000000001,11.368,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,HeartDiseaseorAttack,single_feature_probability_delta,11.0,2.23606797749979,9.040000000000001,12.959999999999999,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,HeartDiseaseorAttack,single_feature_probability_delta,11.0,2.23606797749979,9.040000000000001,12.959999999999999,5,0.0,0.0,0.0,0.0,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Income,single_feature_probability_delta,11.2,8.983317872590282,3.325774704772539,19.07422529522746,5,-0.004838383946209101,0.007227558203060287,-0.01117361803593368,0.0014968501435154782,5
