dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,HighBP,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.5919999999999999,5,0.26211342998259124,0.015827514999140438,0.24824000139702482,0.27598685856815763,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,HighBP,linear_logit_attribution_fallback,1.2,0.4472135954999579,0.808,1.5919999999999999,5,0.26211342998259124,0.015827514999140438,0.24824000139702482,0.27598685856815763,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,GenHlth,linear_logit_attribution_fallback,1.8,0.4472135954999579,1.4080000000000001,2.192,5,0.2445456129141465,0.013293770611802667,0.23289310920615686,0.25619811662213615,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,GenHlth,linear_logit_attribution_fallback,1.8,0.4472135954999579,1.4080000000000001,2.192,5,0.2445456129141465,0.013293770611802667,0.23289310920615686,0.25619811662213615,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,BMI,linear_logit_attribution_fallback,3.0,0.0,3.0,3.0,5,0.11788052285896211,0.008556340111055145,0.11038056007320657,0.12538048564471765,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,BMI,linear_logit_attribution_fallback,3.0,0.0,3.0,3.0,5,0.11788052285896211,0.008556340111055145,0.11038056007320657,0.12538048564471765,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,HighChol,linear_logit_attribution_fallback,4.0,0.0,4.0,4.0,5,0.07946622615144766,0.003636427953621422,0.0762787565124131,0.08265369579048222,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,HighChol,linear_logit_attribution_fallback,4.0,0.0,4.0,4.0,5,0.07946622615144766,0.003636427953621422,0.0762787565124131,0.08265369579048222,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,Age,linear_logit_attribution_fallback,5.0,0.0,5.0,5.0,5,0.06506894500701707,0.0028100760293707297,0.06260580476575973,0.0675320852482744,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,Age,linear_logit_attribution_fallback,5.0,0.0,5.0,5.0,5,0.06506894500701707,0.0028100760293707297,0.06260580476575973,0.0675320852482744,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,DiffWalk,linear_logit_attribution_fallback,6.0,0.0,6.0,6.0,5,0.026577277410025517,0.00443743249004184,0.02268769633825203,0.030466858481799003,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,DiffWalk,linear_logit_attribution_fallback,6.0,0.0,6.0,6.0,5,0.026577277410025517,0.00443743249004184,0.02268769633825203,0.030466858481799003,5
