dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,client_left,client_right,top_k,spearman_top_feature_stability_mean,spearman_top_feature_stability_std,spearman_top_feature_stability_ci95_low,spearman_top_feature_stability_ci95_high,spearman_top_feature_stability_n,spearman_rank_correlation_mean,spearman_rank_correlation_std,spearman_rank_correlation_ci95_low,spearman_rank_correlation_ci95_high,spearman_rank_correlation_n,top_k_overlap_mean,top_k_overlap_std,top_k_overlap_ci95_low,top_k_overlap_ci95_high,top_k_overlap_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,2.0,,,,,0.0,,,0,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,3.0,,,,0.9625974025974026,0.02130820187220131,0.9439199401545066,0.9812748650402985,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,4.0,,,,0.985974025974026,0.003830618494481261,0.982616340821011,0.9893317111270409,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,5.0,,,,0.9877922077922078,0.008496325835738266,0.98034484983815,0.9952395657462656,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,6.0,,,,0.9854545454545454,0.011073285063528388,0.9757483831451226,0.9951607077639681,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,7.0,,,,0.9919480519480519,0.003939156074831887,0.9884952294111882,0.9954008744849157,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,8.0,,,,0.9961038961038963,0.003673281980189927,0.9928841224862702,0.9993236697215223,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,9.0,,,,0.995064935064935,0.005063269789511175,0.9906267834133299,0.9995030867165401,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,10.0,,,,0.9937662337662339,0.0033616049624792836,0.9908196571000689,0.9967128104323988,5,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,11.0,,,,0.9974025974025975,0.0015905777550540348,0.996008394528948,0.9987968002762471,5,,0.0,,,0,,0.0,,,0
