dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,group_feature,group_value,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_ci95_low,true_positive_rate_ci95_high,true_positive_rate_n,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95_low,false_positive_rate_ci95_high,false_positive_rate_n,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_ci95_low,demographic_parity_difference_ci95_high,demographic_parity_difference_n,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_ci95_low,equalized_odds_difference_ci95_high,equalized_odds_difference_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.514562963166,5,0.1481931779045644,0.02051204464033639,0.13021357804462985,0.16617277776449896,5,0.5089916377089063,0.04075206232975343,0.47327088012459256,0.54471239529322,5,0.10402977852564935,0.017695386515256997,0.08851908836824023,0.11954046868305847,5,0.31518815217437524,0.03118490863069759,0.28785337455079424,0.34252292979795623,5,0.38476333810031627,0.05286831831365513,0.33842221388698773,0.4311044623136448,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,60_plus,24506.0,146.14547546879444,24377.897842641116,24634.102157358884,5,0.3457765846330517,0.03488934267671204,0.31519472740221,0.37635844186389344,5,0.6536877003970231,0.04494402229022601,0.6142925278999243,0.6930828728941218,5,0.27070342824043364,0.032695708113253286,0.24204437648225316,0.29936247999861415,5,0.31518815217437524,0.03118490863069759,0.28785337455079424,0.34252292979795623,5,0.38476333810031627,0.05286831831365513,0.33842221388698773,0.4311044623136448,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,under_40,7626.2,77.63826376214244,7558.147061312534,7694.252938687466,5,0.03058843245867644,0.003820392010392762,0.0272397112141898,0.033937153703163074,5,0.26892436229670674,0.016911972687284414,0.25410036463625074,0.28374835995716274,5,0.02295266356861796,0.004602329423563072,0.018918543961811654,0.026986783175424266,5,0.31518815217437524,0.03118490863069759,0.28785337455079424,0.34252292979795623,5,0.38476333810031627,0.05286831831365513,0.33842221388698773,0.4311044623136448,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.09199335447704582,0.017396298089128123,0.07674482688406287,0.10724188207002877,5,0.3796294639409121,0.048857895398101384,0.3368036304046024,0.4224552974772218,5,0.07302804426858953,0.015101696601064633,0.05979082355977078,0.08626526497740827,5,0.339137388233934,0.01801589558603575,0.3233457594892156,0.3549290169786524,5,0.40539726767752093,0.04428594274208936,0.36657892733728265,0.4442156080177592,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,obese,14726.6,61.096644752392095,14673.046429661506,14780.153570338494,5,0.430481256745231,0.034074096533550716,0.40061399426583455,0.4603485192246275,5,0.7306153706546091,0.0364368411797115,0.6986770711794353,0.7625536701297829,5,0.3314233712944994,0.033160607606120815,0.30235681716376617,0.3604899254252326,5,0.339137388233934,0.01801589558603575,0.3233457594892156,0.3549290169786524,5,0.40539726767752093,0.04428594274208936,0.36657892733728265,0.4442156080177592,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,overweight,18245.0,57.745129664760476,18194.384162162423,18295.615837837577,5,0.19118590389797535,0.026096346629540343,0.16831144752697985,0.21406036026897085,5,0.49697870903538915,0.049123322479720184,0.4539202184040324,0.5400371996667459,5,0.14661449627407402,0.023179876079889503,0.12629643905320956,0.1669325534949385,5,0.339137388233934,0.01801589558603575,0.3233457594892156,0.3549290169786524,5,0.40539726767752093,0.04428594274208936,0.36657892733728265,0.4442156080177592,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,underweight,631.4,44.69116243733205,592.226468936283,670.5735310637169,5,0.09760273668241831,0.015606511982172704,0.08392302578236747,0.11128244758246915,5,0.33294078433613317,0.0812484703522755,0.261723360048112,0.40415820862415436,5,0.08421978396855602,0.01485018195241505,0.0712030255696105,0.09723654236750154,5,0.339137388233934,0.01801589558603575,0.3233457594892156,0.3549290169786524,5,0.40539726767752093,0.04428594274208936,0.36657892733728265,0.4442156080177592,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.679963273436,5,0.20686968884864224,0.023495961189113155,0.18627457081374516,0.22746480688353932,5,0.5954758001020181,0.040601157585118994,0.5598873163584193,0.6310642838456169,5,0.14900262209007412,0.020885129735435402,0.1306959987255985,0.16730924545454973,5,0.043517032008355744,0.008097127685946977,0.03641958666047272,0.050614477356238766,5,0.0381892731227983,0.008052621039604855,0.031130839570490523,0.04524770667510608,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,sex,male,22268.4,45.72526653831555,22228.320036726564,22308.47996327344,5,0.25038672085699804,0.027889692437456794,0.22594032757760568,0.2748331141363904,5,0.6036790635750667,0.0456270324496457,0.5636852062768201,0.6436729208733134,5,0.18719189521287244,0.025069815591260616,0.16521723296945887,0.209166557456286,5,0.043517032008355744,0.008097127685946977,0.03641958666047272,0.050614477356238766,5,0.0381892731227983,0.008052621039604855,0.031130839570490523,0.04524770667510608,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.514562963166,5,0.01713271122309586,0.007435402645828764,0.010615293446683136,0.023650128999508583,5,0.08825216962784624,0.036301379410945564,0.056432607628211104,0.12007173162748137,5,0.00841548175629408,0.003864610345068162,0.005028001432550519,0.011802962080037642,5,0.040896420825674226,0.014997505668070494,0.027750527496310573,0.05404231415503788,5,0.09125108368992052,0.030828652878692683,0.06422857800125197,0.11827358937858908,5
