dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,1,0.812584980693871,0.005120461289384619,0.8080966984823367,0.8170732629054053,5,0.09712387364088179,0.10050151630270028,0.009030410501382466,0.1852173367803811,5,0.03705083965475858,0.013921915136837012,0.024847742994561852,0.04925393631495531,5,1056.0,0.0,1056.0,1056.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,2,0.8164139616902795,0.0046816529665228875,0.8123103119324376,0.8205176114481213,5,0.15861714176802383,0.07243075376425903,0.0951287868492785,0.22210549668676915,5,0.02814848564883224,0.012398375400365926,0.017280830448166723,0.039016140849497755,5,2112.0,0.0,2112.0,2112.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,3,0.8185986117500598,0.00379322128094167,0.8152737067000091,0.8219235168001104,5,0.18806081167761432,0.04058076774521693,0.15249020041669945,0.2236314229385292,5,0.023594744066066285,0.010085470281529917,0.01475443958932079,0.03243504854281178,5,3168.0,0.0,3168.0,3168.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,4,0.8199357035443556,0.0030872077613979415,0.8172296466296165,0.8226417604590948,5,0.20460431351501188,0.028578016098855914,0.1795545779446348,0.22965404908538894,5,0.02150565569129598,0.008527889990406613,0.014030630535805808,0.028980680846786153,5,4224.0,0.0,4224.0,4224.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,5,0.8207771947250716,0.0026519572302046526,0.818452651722129,0.8231017377280142,5,0.2142630000630829,0.024900155665881333,0.19243705130114191,0.2360889488250239,5,0.019960302127789282,0.007257345917747993,0.013598957954929759,0.026321646300648805,5,5280.0,0.0,5280.0,5280.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,6,0.8213405809511622,0.0023813406783760255,0.8192532438144641,0.8234279180878604,5,0.2190835538909925,0.020356305781561806,0.20124046515964156,0.23692664262234342,5,0.018697716756228677,0.006450552831370258,0.013043557903856803,0.02435187560860055,5,6336.0,0.0,6336.0,6336.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,7,0.8217262166251903,0.002233581791544977,0.8197683958632638,0.8236840373871168,5,0.22274918407710814,0.01881926334782214,0.20625337244128553,0.23924499571293076,5,0.01751679608570868,0.006083197073397983,0.012184638752463579,0.022848953418953783,5,7392.0,0.0,7392.0,7392.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,8,0.821991704712911,0.00215690383555653,0.8201010951427952,0.8238823142830269,5,0.22445400077104835,0.015258099178432133,0.21107968715864844,0.23782831438344826,5,0.01676949676760316,0.005428788819542629,0.012010953559895803,0.02152803997531052,5,8448.0,0.0,8448.0,8448.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,9,0.8221785798650153,0.0021177723831061605,0.8203222705252924,0.8240348892047382,5,0.22651628491742132,0.013084001888977358,0.21504765160195763,0.237984918232885,5,0.015965656335501902,0.004789421817136404,0.011767543015135176,0.02016376965586863,5,9504.0,0.0,9504.0,9504.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,10,0.822319038319896,0.002088105474007388,0.8204887331725406,0.8241493434672513,5,0.2300399673952433,0.012555318675040015,0.21903474534891096,0.24104518944157563,5,0.01531985553834474,0.004385176634240789,0.011476078743722334,0.019163632332967147,5,10560.0,0.0,10560.0,10560.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
