run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,contribution,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,1,CholCheck,0.3450661897659302,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,2,GenHlth,0.2378114759922027,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,3,HighChol,0.2186772525310516,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,4,HighBP,0.1782026886940002,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,5,Age,-0.1130338907241821,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,6,Income,-0.054866075515747,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,7,Fruits,-0.0201181173324584,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,8,MentHlth,0.019355297088623,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,9,AnyHealthcare,0.0093636512756347,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,10,PhysActivity,-0.0058765411376953,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,11,PhysHlth,0.0042206645011901,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,12,Sex,0.0042043328285217,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,13,Veggies,-0.0018926858901977,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,14,HeartDiseaseorAttack,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,15,Smoker,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,16,BMI,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,17,NoDocbcCost,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,18,HvyAlcoholConsump,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,19,Stroke,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,20,DiffWalk,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,21,Education,0.0,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,1,Age,-0.0723105636349218,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,2,HighChol,0.0721158478139253,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,3,HighBP,0.0718492264703695,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,4,Income,-0.0172139793342911,single_feature_probability_delta
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,5,Sex,0.0070997273124723,single_feature_probability_delta
