run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,rank,feature,mean_abs_shap,method
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,1,HighBP,0.5463207692211601,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,2,GenHlth,0.0983364539534532,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,3,HighChol,0.0497794565264832,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,4,Age,0.0288416957614947,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,5,DiffWalk,0.0243838747965427,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,6,BMI,0.0210227496298207,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,7,HvyAlcoholConsump,0.0161048727639505,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,8,Sex,0.0149069918011139,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,9,HeartDiseaseorAttack,0.0094791395690147,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,10,CholCheck,0.0089401806503602,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,11,Income,0.0088867850491154,linear_logit_attribution_fallback
cdc_seed42_c3_iid_a0p5_calib_f1_optimal,cdc,42,3,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,12,Smoker,0.0046399560282439,linear_logit_attribution_fallback
