dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,1,0.0,0.1,27648.666666666668,1063.7886694890735,26444.876464273504,28852.45686905983,3,0.03397564713700163,0.0030546415874229656,0.03051899477715974,0.03743229949684352,3,0.03373250908447687,0.0029874986713491016,0.030351836086747047,0.037113182082206694,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,2,0.1,0.2,10085.0,2549.753713596668,7199.682053891923,12970.317946108076,3,0.1496368128091853,0.0016631724993105813,0.14775475595242124,0.15151886966594938,3,0.15255586789662912,0.004207700225498756,0.14779440685522163,0.1573173289380366,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,3,0.2,0.3,4748.666666666667,1625.6851888767806,2909.030695092097,6588.302638241237,3,0.2529867931339205,0.009126323634645711,0.24265938573585877,0.2633142005319822,3,0.25602950569667854,0.01663922410859309,0.23720045108100118,0.2748585603123559,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,4,0.3,0.4,4149.333333333333,289.63828015877556,3821.576764859446,4477.0899018072205,3,0.3496341773419516,0.005783824345557483,0.3430891639579595,0.35617919072594373,3,0.3440126821909379,0.011807161746318538,0.33065162088623706,0.3573737434956387,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,5,0.4,0.5,2914.3333333333335,370.44612743735536,2495.134077396759,3333.532589269908,3,0.44298332468880103,0.007434325639932053,0.4345705932662631,0.45139605611133893,3,0.4443302664347162,0.01031756164233302,0.43265484633121637,0.456005686538216,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,6,0.5,0.6000000000000001,894.6666666666666,177.2719191900774,694.0646057489272,1095.268727584406,3,0.565270891557768,0.006907130228205842,0.5574547379044664,0.5730870452110696,3,0.5524420674255338,0.016044008909157175,0.5342865622148718,0.5705975726361958,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,243.0,153.21879780235844,69.61660825403914,416.38339174596086,3,0.6432391622502895,0.015768871802812393,0.6253950039851555,0.6610833205154236,3,0.5929301865929791,0.03155603233846415,0.5572211744132483,0.62863919877271,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,8,0.7000000000000001,0.8,34.0,49.38623289946298,-21.885783523182347,89.88578352318234,3,0.7491044577529277,0.013468550625449804,0.7338633579477005,0.7643455575581548,3,0.5155677655677656,0.2392529615952319,0.24482755247617782,0.7863079786593534,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,9,0.8,0.9,15.333333333333334,5.859465277082315,8.702724177473083,21.963942489193585,3,0.8437334221077416,0.019183198800082287,0.8220255891250962,0.865441255090387,3,0.39044289044289043,0.0989166545115093,0.27850815850815847,0.5023776223776224,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,10,0.9,1.0,3.0,2.6457513110645907,0.0060505459621844615,5.993949454037816,3,0.9430503132047237,0.03731098881993517,0.8913399209183145,0.9947607054911328,2,0.55,0.07071067811865474,0.45200000000000007,0.648,2
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,1,0.0,0.1,31563.666666666668,344.30412912617436,31174.049866663838,31953.283466669498,3,0.06506777172436917,0.0003021650922737287,0.06472583973353584,0.06540970371520251,3,0.04429430015682487,0.0015009798798327257,0.04259578152699238,0.045992818786657355,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,2,0.1,0.2,9972.333333333334,245.5286812845565,9694.491474875846,10250.175191790822,3,0.13890573262570383,0.0002648091069883381,0.1386060729116648,0.13920539233974286,3,0.20172460369671463,0.005282227976370698,0.19574720003832058,0.2077020073551087,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,3,0.2,0.3,3643.3333333333335,87.55760008893193,3544.2525815306863,3742.4140851359807,3,0.24421705850056016,0.0005553423021022544,0.24358862952644236,0.24484548747467796,3,0.31627470731510204,0.011197783657553372,0.3036032222334314,0.3289461923967727,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,4,0.3,0.4,1972.6666666666667,66.98009654616313,1896.871552194969,2048.4617811383646,3,0.3456155087543958,0.00047435843029691407,0.34507872165824416,0.3461522958505474,3,0.3814208240431129,0.013235257393498972,0.3664437203820089,0.3963979277042169,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,5,0.4,0.5,1246.6666666666667,34.07834111768549,1208.1033934077168,1285.2299399256167,3,0.44619354720130805,0.00046547624201867614,0.44566681124739155,0.44672028315522455,3,0.42926517492862154,0.008064955891520115,0.4201388181968772,0.4383915316603659,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,6,0.5,0.6000000000000001,917.0,18.083141320025124,896.5369992425353,937.4630007574647,3,0.5486339702132285,0.0016842620934259158,0.5467280482340988,0.5505398921923581,3,0.4824700621409386,0.022775654731939973,0.45669698257564584,0.5082431417062314,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,681.6666666666666,24.5017006212494,653.940382306074,709.3929510272593,3,0.6472284856917461,0.0008453020390476541,0.6462719363865563,0.6481850349969358,3,0.5252123533166396,0.02253144127527465,0.4997156272930399,0.5507090793402394,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,8,0.7000000000000001,0.8,463.0,40.63249930782009,417.0199985500943,508.9800014499057,3,0.7464160705556792,0.0007309891326239034,0.7455888784815887,0.7472432626297696,3,0.5576467641710532,0.013968820185276705,0.5418395560663605,0.5734539722757459,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,9,0.8,0.9,229.66666666666666,28.53652630109932,197.37454722898065,261.95878610435267,3,0.8419671410823707,0.002495098087580241,0.8391436717994335,0.8447906103653079,3,0.6071081920972122,0.025604001617782608,0.5781345367335498,0.6360818474608747,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,10,0.9,1.0,46.0,6.244997998398398,38.933119500090584,53.066880499909416,3,0.9251053945260536,0.002267969850051298,0.9225389450393091,0.927671844012798,3,0.4912330316742081,0.05587019912797694,0.42800994964202577,0.5544561137063905,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,1,0.0,0.1,26933.333333333332,937.6621637526671,25872.268708136333,27994.39795853033,3,0.030798470202217,0.0023566438419560906,0.028131676647403653,0.03346526375703035,3,0.03223136411495193,0.0025416398770445017,0.029355227839250257,0.0351075003906536,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,2,0.1,0.2,10081.0,1296.7108390076794,8613.633550154109,11548.366449845891,3,0.1464135362425106,0.008914389968297597,0.1363259543647091,0.15650111812031212,3,0.14366579909028654,0.006489656166218863,0.13632206181063797,0.1510095363699351,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,3,0.2,0.3,5542.666666666667,707.9896421087906,4741.500966174912,6343.832367158422,3,0.24961069285388382,0.014193318515906612,0.23354944097281236,0.26567194473495526,3,0.2505662307293834,0.011196757010684904,0.23789590740801067,0.26323655405075613,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,4,0.3,0.4,3724.0,419.62959857474306,3249.1444070737575,4198.855592926243,3,0.33569872188690714,0.015680896541358666,0.31795411700190246,0.3534433267719118,3,0.33995972012176745,0.012694071075006261,0.32559502643132393,0.35432441381221097,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,5,0.4,0.5,2925.0,521.2878283635634,2335.1072906592817,3514.8927093407183,3,0.4439241984322393,0.011530535333257957,0.43087616938226764,0.45697222748221095,3,0.43362272392712103,0.012579722169566264,0.41938742820449865,0.4478580196497434,3
