dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2895.3333333333335,292.01769352786374,2564.8842051591,3225.782461507567,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7005.666666666667,826.9246237314095,6069.913364609383,7941.419968723951,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36661.333333333336,826.9246237314095,35725.580031276055,37597.08663539062,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4173.666666666667,292.0176935278637,3843.2175384924335,4504.115794840901,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2739.3333333333335,314.3729208016068,2383.5868840498897,3095.0797826167773,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7476.0,1013.1480642038458,6329.515037109804,8622.484962890196,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36191.0,1013.1480642038458,35044.515037109806,37337.484962890194,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4329.666666666667,314.37292080160677,3973.920217383223,4685.41311595011,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2778.3333333333335,268.4703583886559,2474.530523310487,3082.13614335618,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,7337.0,850.5521735907798,6374.509608290382,8299.490391709618,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36330.0,850.5521735907798,35367.509608290384,37292.490391709616,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4290.666666666667,268.4703583886559,3986.8638566438203,4594.469476689514,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2727.6666666666665,317.25751895476543,2368.655987283572,3086.677346049761,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,7515.333333333333,1036.396320590407,6342.540491760516,8688.12617490615,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36151.666666666664,1036.396320590407,34978.87382509385,37324.45950823948,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4341.333333333333,317.25751895476543,3982.3226539502384,4700.344012716428,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FN,2712.6666666666665,332.9929929192705,2335.8496222302747,3089.4837111030583,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FP,7576.0,1089.5774410293195,6343.027055392807,8808.972944607194,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36091.0,1089.5774410293195,34858.027055392806,37323.972944607194,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4356.333333333333,332.9929929192705,3979.516288896941,4733.150377769725,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2768.0,212.20508947713765,2527.8673355552532,3008.1326644447468,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,7395.0,623.0024077000024,6690.006408728893,8099.993591271107,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,36272.0,623.0024077000024,35567.00640872889,36976.99359127111,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4301.0,212.20508947713765,4060.8673355552532,4541.132664444746,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,2741.0,313.59687498442963,2386.1317292289996,3095.8682707710004,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,7475.666666666667,1011.8410613003078,6330.660716793722,8620.672616539612,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,36191.333333333336,1011.8410613003078,35046.32738346039,37336.33928320628,3
