dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,curve_type,point_id,class_label,curve_x_mean,curve_x_std,curve_x_ci95_low,curve_x_ci95_high,curve_x_n,curve_y_mean,curve_y_std,curve_y_ci95_low,curve_y_ci95_high,curve_y_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,1,,0.0,0.0,0.0,0.0,3,0.6666666666666666,0.5773502691896258,0.013333333333333197,1.32,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,2,,0.02,0.0,0.02,0.02,3,0.5846245439454628,0.03215845832072886,0.5482338225917983,0.6210152652991273,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,3,,0.04,0.0,0.04,0.04,3,0.5741438233622843,0.013963797065244593,0.558342299453009,0.5899453472715597,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,4,,0.06,0.0,0.06,0.06,3,0.5697340083934505,0.005485722589460783,0.5635263289025498,0.5759416878843511,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,5,,0.08,0.0,0.08,0.08,3,0.5647907126776376,0.010764001790873856,0.5526100979878611,0.5769713273674141,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,6,,0.10000000000000002,1.6996749443881478e-17,0.1,0.10000000000000003,3,0.55605803353007,0.012298516042231748,0.5421409524967438,0.5699751145633962,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,7,,0.12,0.0,0.12,0.12,3,0.5444243199434017,0.011448770856890835,0.5314688161086139,0.5573798237781895,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,8,,0.14,0.0,0.14,0.14,3,0.5357615833300686,0.010523040225162393,0.5238536423209548,0.5476695243391825,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,9,,0.16,0.0,0.16,0.16,3,0.5290915623476998,0.011339093639019323,0.5162601699685856,0.5419229547268141,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,10,,0.18000000000000002,3.3993498887762956e-17,0.18,0.18000000000000005,3,0.5202908284435213,0.013643345686192793,0.504851929406563,0.5357297274804795,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,11,,0.20000000000000004,3.3993498887762956e-17,0.2,0.20000000000000007,3,0.5113666378552707,0.014775927907976369,0.49464610138308523,0.5280871743274561,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,12,,0.22,0.0,0.22,0.22,3,0.5014772226625906,0.014199542157637808,0.48540892806791064,0.5175455172572706,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,13,,0.24,0.0,0.24,0.24,3,0.4935862427217779,0.013916549615134853,0.4778381843354597,0.5093343011080962,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,14,,0.26,0.0,0.26,0.26,3,0.4854271889550951,0.011704702359384601,0.47218207136146384,0.4986723065487264,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,15,,0.28,0.0,0.28,0.28,3,0.4779785301258414,0.010550483206722791,0.4660395344596566,0.4899175257920262,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,16,,0.3,0.0,0.3,0.3,3,0.4714830702355844,0.010796253433955424,0.45926595937597053,0.48370018109519825,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,17,,0.32,0.0,0.32,0.32,3,0.4628845339376981,0.009068057673060102,0.45262306068210423,0.4731460071932919,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,18,,0.34,0.0,0.34,0.34,3,0.45556594943805323,0.008438023363550175,0.4460174271197201,0.46511447175638637,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,pr,19,,0.36000000000000004,6.798699777552591e-17,0.36,0.3600000000000001,3,0.44926485159573387,0.008215062588794744,0.4399686331455153,0.4585610700459524,3
