dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,group_feature,group_value,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_ci95_low,true_positive_rate_ci95_high,true_positive_rate_n,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95_low,false_positive_rate_ci95_high,false_positive_rate_n,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_ci95_low,demographic_parity_difference_ci95_high,demographic_parity_difference_n,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_ci95_low,equalized_odds_difference_ci95_high,equalized_odds_difference_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,40_59,18604.0,234.07904647789388,18339.1146230285,18868.8853769715,3,0.14268065277075387,0.0173160827441572,0.12308566050480184,0.16227564503670588,3,0.49801147749472147,0.04072752000264926,0.4519239500062888,0.5440990049831541,3,0.09929120369831711,0.01397307055974567,0.0834791858421305,0.11510322155450371,3,0.3095345417661867,0.027882491638643404,0.2779825322218201,0.3410865513105533,3,0.3832261935875488,0.04188464389157327,0.33582925715315437,0.4306231300219432,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,60_plus,24491.666666666668,180.11200219122915,24287.850749285866,24695.48258404747,3,0.33887408224934057,0.030944358649547966,0.3038572440087556,0.37389092048992556,3,0.6458463265569382,0.04333644233507436,0.5968065255271015,0.6948861275867749,3,0.2639973900026287,0.0283111776715255,0.23196027654515677,0.2960345034601006,3,0.3095345417661867,0.027882491638643404,0.2779825322218201,0.3410865513105533,3,0.3832261935875488,0.04188464389157327,0.33582925715315437,0.4306231300219432,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,under_40,7640.333333333333,100.40584312346236,7526.71342584447,7753.953240822196,3,0.029339540483153802,0.0031492462874211915,0.025775832827251176,0.03290324813905643,3,0.2626201329693893,0.010100686719297716,0.25119012994447154,0.27405013599430705,3,0.021735796075702796,0.0036429859109025223,0.01761336943892817,0.025858222712477424,3,0.3095345417661867,0.027882491638643404,0.2779825322218201,0.3410865513105533,3,0.3832261935875488,0.04188464389157327,0.33582925715315437,0.4306231300219432,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,healthy,17182.666666666668,43.10839052125854,17133.88493055798,17231.448402775357,3,0.0872238021412694,0.013967739194786223,0.07141781729247199,0.10302978699006682,3,0.36607873866715807,0.04119776267988742,0.31945908149560115,0.412698395838715,3,0.06866253528485321,0.011984705945148106,0.055100563805817265,0.08222450676388915,3,0.33683064455221473,0.017913362316461977,0.3165597668234335,0.35710152228099595,3,0.38119865117263013,0.02341417786272507,0.3547030146645099,0.4076942876807504,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,obese,14725.0,81.68231142664855,14632.567763199195,14817.432236800805,3,0.4240544466934842,0.03184352788058826,0.3880201026816264,0.460088790705342,3,0.723487220733927,0.03733224254686218,0.6812418113775158,0.7657326300903382,3,0.32580498131126445,0.02849505705358823,0.29355978874475713,0.35805017387777177,3,0.33683064455221473,0.017913362316461977,0.3165597668234335,0.35710152228099595,3,0.38119865117263013,0.02341417786272507,0.3547030146645099,0.4076942876807504,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,overweight,18207.333333333332,28.219378684395824,18175.400100208924,18239.26656645774,3,0.1854619476850897,0.023096129965307386,0.15932621625378043,0.21159767911639896,3,0.4891121820222166,0.04482371125636219,0.4383893777727366,0.5398349862716966,3,0.14101396410105363,0.02091109551422771,0.11735083191764252,0.16467709628446475,3,0.33683064455221473,0.017913362316461977,0.3165597668234335,0.35710152228099595,3,0.38119865117263013,0.02341417786272507,0.3547030146645099,0.4076942876807504,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,underweight,621.0,58.0,555.3668213985234,686.6331786014766,3,0.09750621193344278,0.015013709517035444,0.08051660024030007,0.11449582362658549,3,0.35515970515970513,0.08279524109023138,0.2614680698868176,0.44885134043259267,3,0.08289587507838163,0.014344691355379701,0.06666332870405932,0.09912842145270394,3,0.33683064455221473,0.017913362316461977,0.3165597668234335,0.35710152228099595,3,0.38119865117263013,0.02341417786272507,0.3547030146645099,0.4076942876807504,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,sex,female,28471.333333333332,60.00277771348034,28403.433798397928,28539.232868268737,3,0.20185283437648183,0.017525324388472163,0.1820210628999748,0.22168460585298885,3,0.5886395170076927,0.03557845713261534,0.5483787026740733,0.6289003313413121,3,0.14452345419853524,0.014461704238143929,0.12815849528226225,0.16088841311480823,3,0.04211947096219997,0.011019027843368027,0.029650267126710008,0.05458867479768993,3,0.03678944622295433,0.010937363574300293,0.02441265420741405,0.049166238238494614,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,sex,male,22264.666666666668,60.00277771348034,22196.767131731263,22332.566201602072,3,0.24397230533868186,0.027896941854159397,0.21240394383611197,0.2755406668412517,3,0.5924449214384929,0.048373094284335665,0.5377056121855641,0.6471842306914217,3,0.1813129004214896,0.02483104829129987,0.15321392408761414,0.20941187675536505,3,0.04211947096219997,0.011019027843368027,0.029650267126710008,0.05458867479768993,3,0.03678944622295433,0.010937363574300293,0.02441265420741405,0.049166238238494614,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,age_group,40_59,18604.0,234.07904647789388,18339.1146230285,18868.8853769715,3,0.15135524912290543,0.018069906523463602,0.1309072249476214,0.17180327329818948,3,0.5191417976608134,0.047203265469422495,0.4657262743310285,0.5725573209905982,3,0.10648759281468416,0.014929816674280337,0.08959291481002303,0.12338227081934529,3,0.3251765220183305,0.03236066018605454,0.28855698771396826,0.3617960563226928,3,0.39295493735939435,0.029503522685564457,0.3595685585008707,0.426341316217918,3
