dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,1,0.8135708770013688,0.004896433848070815,0.8080300404968731,0.8191117135058644,3,0.09436466650696956,0.1010081481813848,-0.019936813317051966,0.2086661463309911,3,0.03778148499573187,0.014292063187490408,0.021608492999729324,0.05395447699173442,3,1056.0,0.0,1056.0,1056.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,2,0.8177351255512969,0.004279700391382282,0.8128921886521865,0.8225780624504073,3,0.1589777606459216,0.07457378186957564,0.07458958229362125,0.24336593899822193,3,0.0289824475643163,0.012396350907156826,0.014954655959212831,0.04301023916941977,3,2112.0,0.0,2112.0,2112.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,3,0.8200438433047331,0.003270041188357922,0.8163434433504283,0.823744243259038,3,0.18859090500821218,0.04275962112906877,0.14020383862035624,0.23697797139606813,3,0.02478074619103927,0.009139678926876702,0.014438225857110803,0.035123266524967736,3,3168.0,0.0,3168.0,3168.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,4,0.8213969768495394,0.002458473800628182,0.8186149518487863,0.8241790018502925,3,0.20445514468293768,0.029738707102507467,0.1708026296030088,0.23810765976286657,3,0.022374803797539405,0.007184066360748255,0.014245267408921288,0.03050434018615752,3,4224.0,0.0,4224.0,4224.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,5,0.8222425676103162,0.0018832499050613419,0.8201114697246248,0.8243736654960077,3,0.21027382703913677,0.022776483153014417,0.18449981002714852,0.23604784405112503,3,0.020727663856651268,0.0055807468638302766,0.01441245427659259,0.027042873436709945,3,5280.0,0.0,5280.0,5280.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,6,0.8227986900509158,0.0014754602352388048,0.8211290496174881,0.8244683304843434,3,0.21750028641263477,0.022088875828057363,0.1925043703380015,0.24249620248726805,3,0.019160204833703034,0.005094304278599753,0.013395456858399511,0.024924952809006556,3,6336.0,0.0,6336.0,6336.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,7,0.8231715635088993,0.001239282951866384,0.8217691828310094,0.8245739441867892,3,0.2202487830785278,0.017809446208454816,0.20009549749589148,0.24040206866116412,3,0.0180473057907761,0.004247676750606899,0.01324060705260502,0.022854004528947182,3,7392.0,0.0,7392.0,7392.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,8,0.823435337643013,0.001097533347154754,0.8221933617431012,0.8246773135429248,3,0.22187660000090673,0.014055787080513872,0.2059709795898775,0.23778222041193595,3,0.0172674335467275,0.0036181310544510033,0.01317313282775626,0.021361734265698738,3,8448.0,0.0,8448.0,8448.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,9,0.8236231771099932,0.0010141073340338967,0.8224756066311016,0.8247707475888848,3,0.22481758195931767,0.012017753281819216,0.21121821389838452,0.23841695002025082,3,0.016363579388541067,0.002967636269888,0.013005382813958669,0.019721775963123467,3,9504.0,0.0,9504.0,9504.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,10,0.8237586919663281,0.0009469612600141275,0.8226871044231008,0.8248302795095555,3,0.22887129280776233,0.011941805476561368,0.21535786777901675,0.24238471783650792,3,0.0157072673559064,0.0025944840420771415,0.012771332278107603,0.018643202433705194,3,10560.0,0.0,10560.0,10560.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
