dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,client_left,client_right,top_k,spearman_top_feature_stability_mean,spearman_top_feature_stability_std,spearman_top_feature_stability_ci95_low,spearman_top_feature_stability_ci95_high,spearman_top_feature_stability_n,spearman_rank_correlation_mean,spearman_rank_correlation_std,spearman_rank_correlation_ci95_low,spearman_rank_correlation_ci95_high,spearman_rank_correlation_n,top_k_overlap_mean,top_k_overlap_std,top_k_overlap_ci95_low,top_k_overlap_ci95_high,top_k_overlap_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,2.0,,,,,0.0,,,0,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,3.0,,,,0.9627705627705628,0.019013152602595486,0.941255155174989,0.9842859703661366,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,4.0,,,,0.9835497835497836,0.00270346233696912,0.9804905279221171,0.9866090391774501,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,5.0,,,,0.9896103896103897,0.007792207792207906,0.9807926764082208,0.9984281028125587,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,6.0,,,,0.9813852813852814,0.012746694254835865,0.966961038961039,0.9958095238095237,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,7.0,,,,0.9926406926406924,0.001499611088804095,0.9909437229437229,0.994337662337662,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,8.0,,,,0.997835497835498,0.0007498055444020154,0.9969870129870132,0.9986839826839827,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,9.0,,,,0.9952380952380953,0.005998444355216893,0.9884502164502165,1.002025974025974,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,10.0,,,,0.9935064935064936,0.003436040663720354,0.9896182474622884,0.9973947395506987,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,11.0,,,,0.9982683982683985,0.001499611088804095,0.996571428571429,0.9999653679653681,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,12.0,,,,0.9961038961038962,0.0038961038961037864,0.9916950395028119,1.0005127527049804,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,13.0,,,,0.9991341991341992,0.001499611088804095,0.9974372294372297,1.0008311688311688,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,14.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,15.0,,,,0.9987012987012988,0.002249416633206367,0.9961558441558441,1.0012467532467533,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,16.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,17.0,,,,0.9991341991341992,0.0007498055444020796,0.9982857142857144,0.999982683982684,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,18.0,,,,0.9982683982683983,0.0019837990021454224,0.996023518368101,1.0005132781686956,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,19.0,,,,0.9982683982683983,0.0019837990021454224,0.996023518368101,1.0005132781686956,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,20.0,,,,0.9982683982683983,0.0019837990021454224,0.996023518368101,1.0005132781686956,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,21.0,,,,0.9991341991341992,0.0007498055444020796,0.9982857142857144,0.999982683982684,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,22.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,23.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,24.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,25.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,26.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,27.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,28.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,29.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,30.0,,,,1.0,0.0,1.0,1.0,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,31.0,,,,0.9987012987012988,0.0,0.9987012987012988,0.9987012987012988,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,1.0,5.0,,0.0,,,0,0.9770562770562771,0.015052241256029164,0.9600230625957689,0.9940894915167853,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,2.0,5.0,,0.0,,,0,0.9796536796536796,0.02295188942305032,0.9536811717615347,1.0056261875458246,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,1.0,2.0,5.0,,0.0,,,0,0.9744588744588745,0.022951889423050344,0.9484863665667296,1.0004313823510194,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,2.0,,,,,0.0,,,0,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,3.0,,,,0.9627705627705628,0.019013152602595486,0.941255155174989,0.9842859703661366,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,4.0,,,,0.9831168831168832,0.0034360406637202693,0.9792286370726782,0.9870051291610882,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,5.0,,,,0.9909090909090909,0.006493506493506607,0.98356099657395,0.9982571852442317,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,6.0,,,,0.9813852813852814,0.01281268275926292,0.9668863659386819,0.9958841968318808,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,7.0,,,,0.9930735930735931,0.00270346233696896,0.9900143374459267,0.9961328487012595,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,8.0,,,,0.9969696969696971,0.0019837990021454345,0.9947248170693997,0.9992145768699944,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,9.0,,,,0.9965367965367967,0.003749027722010462,0.9922943722943726,1.0007792207792208,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,10.0,,,,0.9935064935064936,0.003436040663720354,0.9896182474622884,0.9973947395506987,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,11.0,,,,0.9974025974025974,0.002249416633206367,0.9948571428571428,0.999948051948052,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,12.0,,,,0.9965367965367967,0.003749027722010462,0.9922943722943726,1.0007792207792208,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,13.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,14.0,,,,0.9991341991341992,0.0007498055444020796,0.9982857142857144,0.999982683982684,3,,0.0,,,0,,0.0,,,0
