dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,1,0.0,0.1,27651.6,760.8950650385373,26984.646069045244,28318.553930954757,5,0.0334656353711879,0.0023892954033173,0.0313713256106509,0.0355599451317249,5,0.0337213889063999,0.0021960417837702,0.0317964734121034,0.0356463044006964,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,2,0.1,0.2,9603.0,1970.4806520237644,7875.797554980888,11330.202445019111,5,0.1484720833136454,0.0033524873686809,0.1455334985708141,0.1514106680564768,5,0.1493289418700159,0.0073121937033897,0.1429195214933292,0.1557383622467026,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,3,0.2,0.3,5320.8,1434.4666953261758,4063.434503454148,6578.165496545853,5,0.2509953713411129,0.0079556580685885,0.2440219295802463,0.2579688131019795,5,0.2533244651075237,0.0156303499022129,0.2396238593492893,0.2670250708657583,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,4,0.3,0.4,4134.8,418.890439136536,3767.626341162659,4501.973658837341,5,0.3471784319087435,0.0081474144422059,0.3400369082755581,0.3543199555419289,5,0.3444521848780904,0.0084949046404865,0.337006072656596,0.3518982970995848,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,5,0.4,0.5,2636.2,770.0533747734634,1961.2184566197384,3311.181543380261,5,0.4400763853138475,0.0086835463394155,0.4324649213527721,0.4476878492749229,5,0.4439973512794962,0.0114639594203287,0.4339487477978758,0.4540459547611167,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,6,0.5,0.6000000000000001,1062.8,490.91873054508727,632.4907600527267,1493.1092399472732,5,0.5572404538077328,0.0167442024214139,0.54256351326916,0.5719173943463056,5,0.540629682742791,0.0226105373660877,0.5208106729079095,0.5604486925776725,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,273.2,116.30219258466282,171.2566334477814,375.1433665522186,5,0.6436758897867391,0.0161457295955066,0.6295235338093609,0.6578282457641172,5,0.5937949581141904,0.022441846389688,0.5741238124395537,0.613466103788827,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,8,0.7000000000000001,0.8,34.4,41.61490117734272,-2.077069180513945,70.87706918051394,5,0.7490965101237679,0.016892000018647,0.7342900192792599,0.7639030009682759,5,0.50436553496255,0.2018651863976505,0.3274228975648315,0.6813081723602685,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,9,0.8,0.9,17.4,13.352902306240392,5.695665076562444,29.104334923437555,5,0.845576689200719,0.0289244412696191,0.8202232985798121,0.870930079821626,5,0.4061955588271377,0.1000640076122032,0.3184855889633361,0.4939055286909394,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,10,0.9,1.0,1.8,2.489979919597747,-0.3825636302293687,3.982563630229369,5,0.9430503132047235,0.0373109888199351,0.8913399209183145,0.9947607054911328,2,0.55,0.0707106781186547,0.452,0.648,2
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,1,0.0,0.1,27651.6,760.8950650385373,26984.646069045244,28318.553930954757,5,0.0334656353711879,0.0023892954033173,0.0313713256106509,0.0355599451317249,5,0.0337213889063999,0.0021960417837702,0.0317964734121034,0.0356463044006964,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,2,0.1,0.2,9603.0,1970.4806520237644,7875.797554980888,11330.202445019111,5,0.1484720833136454,0.0033524873686809,0.1455334985708141,0.1514106680564768,5,0.1493289418700159,0.0073121937033897,0.1429195214933292,0.1557383622467026,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,3,0.2,0.3,5320.8,1434.4666953261758,4063.434503454148,6578.165496545853,5,0.2509953713411129,0.0079556580685885,0.2440219295802463,0.2579688131019795,5,0.2533244651075237,0.0156303499022129,0.2396238593492893,0.2670250708657583,5
