dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,accuracy_n,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,precision_n,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,recall_n,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,specificity_n,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_n,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,f1_n,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,pr_auc_n,brier_mean,brier_std,brier_ci95_low,brier_ci95_high,brier_n,log_loss_mean,log_loss_std,log_loss_ci95_low,log_loss_ci95_high,log_loss_n,ece_mean,ece_std,ece_ci95_low,ece_ci95_high,ece_n,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,decision_threshold_mean,decision_threshold_std,decision_threshold_ci95_low,decision_threshold_ci95_high,decision_threshold_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,0.801710816777042,0.0134822186256688,0.7898931311019144,0.8135285024521697,5,0.3708407193157397,0.0146440826549725,0.3580046149161592,0.3836768237153202,5,0.5993492714669684,0.0425087131305674,0.5620887415661415,0.6366098013677952,5,0.834469965878123,0.0224746403983395,0.8147700749875073,0.8541698567687388,5,0.7169096186725458,0.0101881639796232,0.7079792992005997,0.7258399381444919,5,0.457149870437396,0.0030245249976899,0.454498757387559,0.459800983487233,5,0.3975325669115787,0.0038675321116682,0.3941425255464921,0.4009226082766652,5,0.0988907052083797,0.0003320104887084,0.0985996851837576,0.0991817252330017,5,0.3186018611194557,0.0014278672179791,0.3173502803198557,0.3198534419190557,5,0.0046753640293902,0.0008325127355409,0.0039456344424191,0.0054050936163612,5,0.8212778014610848,0.0019787972420654,0.8195433092034813,0.8230122937186882,5,0.2259736676127404,0.0252331265649122,0.2038558569894127,0.2480914782360682,5,0.2344,0.0227332355814125,0.2144734404374463,0.2543265595625537,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,0.8631937874487543,0.000487396050886,0.8627665659736697,0.8636210089238389,5,0.5511243114568043,0.0192158775271226,0.5342808521648053,0.5679677707488033,5,0.1073419154052906,0.0373337524455944,0.0746174385424793,0.1400663922681019,5,0.9855543087457348,0.0062960669342378,0.9800355627526438,0.991073054738826,5,0.5464481120755128,0.0155316261833787,0.5328340414722298,0.5600621826787958,5,0.1770040578598409,0.0474304093422597,0.1354294710197868,0.2185786446998949,5,0.3975325669115787,0.0038675321116682,0.3941425255464921,0.4009226082766652,5,0.0988907052083797,0.0003320104887084,0.0985996851837576,0.0991817252330017,5,0.3186018611194557,0.0014278672179791,0.3173502803198557,0.3198534419190557,5,0.0046753640293902,0.0008325127355409,0.0039456344424191,0.0054050936163612,5,0.8212778014610848,0.0019787972420654,0.8195433092034813,0.8230122937186882,5,0.0273888363292336,0.0106115516712922,0.0180874011827993,0.0366902714756679,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,0.8001458530432041,0.0137985101224968,0.7880509256473323,0.8122407804390759,5,0.3696951422003329,0.0161393103959113,0.355548412899484,0.3838418715011819,5,0.607158013863347,0.0424448291116154,0.5699534807740688,0.6443625469526252,5,0.8313875466599493,0.0228893839812119,0.8113241169902761,0.8514509763296225,5,0.7192727802616481,0.0098131880537329,0.7106711416805069,0.7278744188427893,5,0.458442633387574,0.0012759424236463,0.4573242205416715,0.4595610462334765,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.101681797318352,0.0005402270845906,0.101208267400455,0.102155327236249,5,0.3342521623187625,0.0015021194775583,0.3329354965440009,0.3355688280935241,5,0.0381657981910946,0.0021143682635968,0.0363124726936812,0.0400191236885079,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.2297146010722169,0.0256075195919766,0.2072686204914325,0.2521605816530013,5,0.16252,0.018666333330357,0.1461582374347994,0.1788817625652006,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,0.8629178492589087,0.0010222565815113,0.8620218018578799,0.8638138966599375,5,0.5244716758313211,0.0114212857657792,0.5144604774571298,0.5344828742055125,5,0.1740557363134814,0.0048124363099883,0.1698374499006847,0.1782740227262781,5,0.9744337829482218,0.001334988429388,0.9732636139963252,0.9756039519001184,5,0.5742447596308515,0.0021735902068608,0.5723395238114062,0.5761499954502969,5,0.2613252844767939,0.0057162314537005,0.2563147866913999,0.2663357822621879,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.101681797318352,0.0005402270845906,0.101208267400455,0.102155327236249,5,0.3342521623187625,0.0015021194775583,0.3329354965440009,0.3355688280935241,5,0.0381657981910946,0.0021143682635968,0.0363124726936812,0.0400191236885079,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.0462551245663827,0.0015793990550062,0.0448707202553503,0.0476395288774151,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,0.8026135288552506,0.0087457273837967,0.7949475608056531,0.8102794969048481,5,0.3718574777923905,0.0098844399171839,0.3631933841992509,0.3805215713855301,5,0.6008770688923468,0.0300182101586705,0.5745649475691033,0.6271891902155904,5,0.8352714864772024,0.0149694843131508,0.8221501549483722,0.8483928180060326,5,0.7180742776847747,0.0076307750090177,0.711385608481436,0.7247629468881135,5,0.4589036090683997,0.0025187531212214,0.456695824614944,0.4611113935218554,5,0.3947630754158499,0.0036278032531766,0.3915831656600755,0.3979429851716243,5,0.098803741743049,0.0003261730104793,0.0985178384936968,0.0990896449924011,5,0.3184084419935177,0.0012191466084297,0.3173398128746507,0.3194770711123847,5,0.0033200404686193,0.0011838089849757,0.0022823861424092,0.0043576947948293,5,0.8211851689205757,0.0019607175068818,0.8194665242495914,0.82290381359156,5,0.2254966887417218,0.0170435310373549,0.2105573751030697,0.2404360023803738,5,0.23924,0.0155094487329498,0.2256453687891139,0.2528346312108862,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,fixed_0p5,0.8633475244402398,0.0006225636525139,0.8628018233384818,0.8638932255419978,5,0.5504872863083617,0.0205471654309755,0.5324769017181125,0.568497670898611,5,0.1097184891781015,0.0197191122476732,0.092433925204937,0.127003053151266,5,0.9853482034488286,0.0034545520741655,0.982320155047127,0.98837625185053,5,0.5475333463134652,0.0081753122201198,0.5403673691997679,0.5546993234271624,5,0.182117322829392,0.026338372105363,0.1590307217752358,0.2052039238835482,5,0.3947630754158499,0.0036278032531766,0.3915831656600755,0.3979429851716243,5,0.098803741743049,0.0003261730104793,0.0985178384936968,0.0990896449924011,5,0.3184084419935177,0.0012191466084297,0.3173398128746507,0.3194770711123847,5,0.0033200404686193,0.0011838089849757,0.0022823861424092,0.0043576947948293,5,0.8211851689205757,0.0019607175068818,0.8194665242495914,0.82290381359156,5,0.0278973509933774,0.0056911820767214,0.0229088099549934,0.0328858920317614,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,0.8001695048880479,0.0137063948721054,0.7881553200691388,0.8121836897069571,5,0.3697437157995372,0.0160668702110519,0.3556604831203263,0.383826948478748,5,0.6073277691328334,0.0421384903145637,0.5703917538383017,0.6442637844273651,5,0.8313875466599491,0.0227256895531009,0.8114676014828432,0.8513074918370549,5,0.7193576578963914,0.0097597141566731,0.7108028912526384,0.7279124245401444,5,0.4585417195944846,0.0015565634206739,0.4571773315994772,0.4599061075894919,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.1017755696729048,0.0005304629938021,0.1013105983579385,0.1022405409878712,5,0.3342272876586412,0.0015588208448963,0.3328609209440599,0.3355936543732224,5,0.0372083916255631,0.0024287881268719,0.0350794649665481,0.0393373182845781,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.2297382529170608,0.025420667724199,0.2074560552196812,0.2520204506144404,5,0.16246,0.0188494827515239,0.1459376998889379,0.178982300111062,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,0.8628744875433618,0.0010573202104057,0.8619477055164968,0.8638012695702268,5,0.5229348539902601,0.0110315739264945,0.5132652531044652,0.5326044548760549,5,0.1810722874522563,0.0055297270577711,0.1762252679777634,0.1859193069267491,5,0.973247532461584,0.0012037957451438,0.9721923589676548,0.9743027059555136,5,0.5771599099569202,0.0026195352495405,0.5748637860730478,0.5794560338407927,5,0.2689607844356171,0.0067119884549455,0.2630774671554318,0.2748441017158023,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.1017755696729048,0.0005304629938021,0.1013105983579385,0.1022405409878712,5,0.3342272876586412,0.0015588208448963,0.3328609209440599,0.3355936543732224,5,0.0372083916255631,0.0024287881268719,0.0350794649665481,0.0393373182845781,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.0482537054556921,0.0014886759785815,0.046948823427337,0.0495585874840472,5,0.5,0.0,0.5,0.5,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,0.7992746767581205,0.0145209655011006,0.7865464893020395,0.8120028642142014,5,0.3687988198332978,0.0169264717081081,0.3539621132207435,0.3836355264458521,5,0.6094214174565002,0.04423340566973,0.5706491278905945,0.648193707022406,5,0.8300089312295326,0.0240153101172823,0.8089585837877238,0.8510592786713413,5,0.7197151743430164,0.0101529095201777,0.7108157567672596,0.7286145919187731,5,0.4582950421966713,0.0014193786078104,0.457050901991945,0.4595391824013975,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.0992346943467911,0.0004139113355236,0.0988718850646988,0.0995975036288834,5,0.3205228698340961,0.0012117521838756,0.3194607222141244,0.3215850174540678,5,0.0129343809809986,0.0016318209184147,0.0115040268807314,0.0143647350812658,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.2312164932198044,0.0268243338900175,0.207703927880346,0.2547290585592628,5,0.21612,0.0223854193617184,0.1964983147961241,0.2357416852038758,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,fixed_0p5,0.8633238725953957,0.0007982619299756,0.8626241651631995,0.8640235800275918,5,0.5333083666738874,0.0105030833057892,0.5241020082418129,0.5425147251059619,5,0.1534870561607016,0.004747966175368,0.1493252803124884,0.1576488320089147,5,0.9782352806467124,0.0013140029639594,0.977083506266293,0.979387055027132,5,0.5658611684037071,0.0019537537290107,0.5641486277531573,0.567573709054257,5,0.2383143976949417,0.0055061851955548,0.2334880135725081,0.2431407818173754,5,0.4017031743342859,0.0042070584489116,0.3980155250128699,0.4053908236557018,5,0.0992346943467911,0.0004139113355236,0.0988718850646988,0.0995975036288834,5,0.3205228698340961,0.0012117521838756,0.3194607222141244,0.3215850174540678,5,0.0129343809809986,0.0016318209184147,0.0115040268807314,0.0143647350812658,5,0.8214185757749813,0.0019581509154691,0.8197021808205619,0.8231349707294008,5,0.0401174708293913,0.0016721243761426,0.0386517891908106,0.041583152467972,5,0.5,0.0,0.5,0.5,5
