dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,group_feature,group_value,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_ci95_low,true_positive_rate_ci95_high,true_positive_rate_n,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95_low,false_positive_rate_ci95_high,false_positive_rate_n,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_ci95_low,demographic_parity_difference_ci95_high,demographic_parity_difference_n,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_ci95_low,equalized_odds_difference_ci95_high,equalized_odds_difference_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1481931779045644,0.0205120446403363,0.1302135780446298,0.1661727777644989,5,0.5089916377089063,0.0407520623297534,0.4732708801245925,0.54471239529322,5,0.1040297785256493,0.0176953865152569,0.0885190883682402,0.1195404686830584,5,0.3151881521743752,0.0311849086306975,0.2878533745507942,0.3425229297979562,5,0.3847633381003162,0.0528683183136551,0.3384222138869877,0.4311044623136448,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0919933544770458,0.0173962980891281,0.0767448268840628,0.1072418820700287,5,0.3796294639409121,0.0488578953981013,0.3368036304046024,0.4224552974772218,5,0.0730280442685895,0.0151016966010646,0.0597908235597707,0.0862652649774082,5,0.339137388233934,0.0180158955860357,0.3233457594892156,0.3549290169786524,5,0.4053972676775209,0.0442859427420893,0.3665789273372826,0.4442156080177592,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2068696888486422,0.0234959611891131,0.1862745708137451,0.2274648068835393,5,0.5954758001020181,0.0406011575851189,0.5598873163584193,0.6310642838456169,5,0.1490026220900741,0.0208851297354354,0.1306959987255985,0.1673092454545497,5,0.0435170320083557,0.0080971276859469,0.0364195866604727,0.0506144773562387,5,0.0381892731227983,0.0080526210396048,0.0311308395704905,0.045247706675106,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1508148885305267,0.0188998481038613,0.1342484412416622,0.1673813358193912,5,0.5170494549910852,0.041458117787359,0.4807098125111278,0.5533890974710427,5,0.1060144741587206,0.0162895982408093,0.0917360117536172,0.120292936563824,5,0.3200172796928204,0.0324004876101602,0.2916170001150409,0.3484175592705999,5,0.3901842521159896,0.0510951653659785,0.3453973649886606,0.4349711392433186,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0938444789085717,0.0162516273042964,0.0795992994967914,0.1080896583203519,5,0.3891565801892069,0.0435060516067378,0.3510218445696973,0.4272913158087166,5,0.0743548310964739,0.014033106766013,0.0620542706760614,0.0866553915168863,5,0.343267218539555,0.0209002727906578,0.3249473217019406,0.3615871153771694,5,0.3937536644540448,0.0431172420420645,0.3559597354443644,0.4315475934637252,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.21018570072307,0.0234519936642467,0.1896291219229391,0.2307422795232008,5,0.601983152516888,0.0401216449873954,0.5668149800970036,0.6371513249367725,5,0.1518464921810973,0.0209120639669898,0.133516259921732,0.1701767244404625,5,0.0444900420122409,0.0082301414176699,0.0372760049878971,0.0517040790365847,5,0.03874685795914,0.0081800255608111,0.0315767494201694,0.0459169664981106,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1477918666833564,0.0111084911861629,0.1380548448468271,0.1575288885198857,5,0.5114357615972607,0.0317029163471948,0.4836469301906324,0.5392245930038889,5,0.1033189520960466,0.0090639377442404,0.095374060367587,0.1112638438245061,5,0.315189904509926,0.0213387568578834,0.2964856594412156,0.3338941495786364,5,0.3807617828036431,0.0399463704467801,0.3457472452924746,0.4157763203148116,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0911654928773291,0.0095553536929032,0.0827898560780261,0.0995411296766322,5,0.3783619738740649,0.0297768862769633,0.3522613822596252,0.4044625654885045,5,0.0722350310712129,0.008080442149607,0.0651522112407808,0.079317850901645,5,0.3404168429122697,0.0160241955921007,0.3263710161858233,0.3544626696387161,5,0.3998665279147326,0.0598667730298869,0.3473909876720883,0.4523420681573769,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2061118190895633,0.0136342700069395,0.1941608545023948,0.2180627836767319,5,0.5959596706727086,0.0256425301788546,0.5734830019594651,0.6184363393859521,5,0.1480591267959305,0.0117341273347958,0.1377737106960516,0.1583445428958094,5,0.0441649462265056,0.0091878049479137,0.0361114801069084,0.0522184123461029,5,0.0385253819615528,0.0093768377305075,0.0303062213024281,0.0467445426206774,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1510223978630317,0.0185525177762581,0.134760399029649,0.1672843966964144,5,0.5181620048563833,0.0421961229193496,0.481175472356419,0.5551485373563476,5,0.1061184148430265,0.0159688222036032,0.0921211250316234,0.1201157046544295,5,0.320232744666361,0.032498577031764,0.2917464859196662,0.3487190034130558,5,0.388500498936758,0.0494235476121328,0.3451788493739868,0.4318221484995292,5
